Fecha,EquipoI,PuntosI,EquipoJ,PuntosJ
7/26/2019,Racing Club,0,CA Unión,0
7/27/2019,Colón,0,Patronato,1
7/27/2019,San Lorenzo,3,Godoy Cruz,2
7/27/2019,Lanús,1,Gimnasia ELP,1
7/27/2019,Argentinos Jun,1,River Plate,1
7/28/2019,Estudiantes,1,Aldosivi,0
7/28/2019,Newell's OB,2,CC Córdoba,0
7/28/2019,Talleres,1,Vélez Sarsf,0
7/28/2019,Defensa y Just,0,Independiente,1
7/28/2019,Boca Juniors,0,CA Huracán,0
7/29/2019,Arsenal,1,Banfield,0
7/29/2019,Tucumán,1,Rosario Cent,2
8/2/2019,CA Huracán,2,Colón,0
8/3/2019,Aldosivi,0,Argentinos Jun,0
8/3/2019,Rosario Cent,1,Talleres,0
8/3/2019,CC Córdoba,1,Tucumán,0
8/3/2019,Vélez Sarsf,2,Racing Club,2
8/4/2019,CA Unión,2,Defensa y Just,1
8/4/2019,Gimnasia ELP,0,San Lorenzo,1
8/4/2019,Banfield,1,Estudiantes,0
8/4/2019,River Plate,3,Lanús,0
8/4/2019,Patronato,0,Boca Juniors,2
8/5/2019,Godoy Cruz,0,Arsenal,2
8/16/2019,Argentinos Jun,3,Banfield,2
8/16/2019,Talleres,1,CC Córdoba,1
8/17/2019,Newell's OB,2,CA Unión,0
8/17/2019,San Lorenzo,2,Rosario Cent,2
8/17/2019,Racing Club,1,River Plate,6
8/18/2019,Patronato,2,CA Huracán,1
8/18/2019,Defensa y Just,0,Arsenal,3
8/18/2019,Lanús,3,Vélez Sarsf,1
8/18/2019,Boca Juniors,2,Aldosivi,0
8/19/2019,Tucumán,1,Godoy Cruz,0
8/19/2019,Colón,2,Gimnasia ELP,1
8/19/2019,Estudiantes,3,Independiente,0
8/23/2019,Arsenal,0,San Lorenzo,2
8/24/2019,Gimnasia ELP,0,Defensa y Just,1
8/24/2019,Vélez Sarsf,3,Newell's OB,1
8/24/2019,Rosario Cent,1,Patronato,1
8/24/2019,Independiente,2,Colón,0
8/25/2019,Godoy Cruz,2,Estudiantes,1
8/25/2019,CA Unión,1,Lanús,2
8/25/2019,CC Córdoba,0,Racing Club,0
8/25/2019,River Plate,0,Talleres,1
8/25/2019,Banfield,0,Boca Juniors,1
8/26/2019,Aldosivi,3,Tucumán,0
8/26/2019,CA Huracán,0,Argentinos Jun,0
8/30/2019,Lanús,1,CC Córdoba,0
8/30/2019,Estudiantes,0,Vélez Sarsf,1
8/30/2019,Defensa y Just,0,Banfield,0
8/31/2019,Argentinos Jun,1,Gimnasia ELP,0
8/31/2019,San Lorenzo,2,CA Unión,1
8/31/2019,Patronato,1,Independiente,0
8/31/2019,Racing Club,3,Godoy Cruz,1
9/1/2019,Tucumán,1,Arsenal,0
9/1/2019,Colón,1,Rosario Cent,1
9/1/2019,Talleres,2,Aldosivi,1
9/1/2019,Newell's OB,4,CA Huracán,1
9/1/2019,River Plate,0,Boca Juniors,0
9/14/2019,Arsenal,4,CA Unión,1
9/14/2019,Godoy Cruz,0,Argentinos Jun,1
9/14/2019,CC Córdoba,1,Defensa y Just,2
9/14/2019,Colón,2,San Lorenzo,1
9/14/2019,CA Huracán,0,River Plate,4
9/15/2019,Gimnasia ELP,1,Racing Club,2
9/15/2019,Banfield,0,Talleres,1
9/15/2019,Rosario Cent,1,Newell's OB,1
9/15/2019,Independiente,2,Lanús,2
9/15/2019,Boca Juniors,1,Estudiantes,0
9/16/2019,Aldosivi,1,Patronato,1
9/16/2019,Vélez Sarsf,1,Tucumán,0
9/20/2019,CA Unión,0,Rosario Cent,0
9/20/2019,Argentinos Jun,3,CC Córdoba,1
9/21/2019,Estudiantes,1,Patronato,0
9/21/2019,Defensa y Just,0,CA Huracán,1
9/21/2019,San Lorenzo,0,Boca Juniors,2
9/21/2019,Tucumán,0,Independiente,1
9/22/2019,Newell's OB,2,Aldosivi,0
9/22/2019,Godoy Cruz,0,Banfield,2
9/22/2019,Lanús,3,Colón,2
9/22/2019,Racing Club,2,Arsenal,1
9/22/2019,River Plate,1,Vélez Sarsf,2
9/23/2019,Talleres,2,Gimnasia ELP,1
9/27/2019,Aldosivi,1,CA Unión,2
9/27/2019,Patronato,1,Lanús,1
9/28/2019,Arsenal,3,Estudiantes,0
9/28/2019,Gimnasia ELP,0,River Plate,2
9/28/2019,Boca Juniors,1,Newell's OB,1
9/29/2019,Banfield,0,San Lorenzo,1
9/29/2019,CA Huracán,0,Tucumán,0
9/29/2019,Vélez Sarsf,0,Defensa y Just,1
9/29/2019,Rosario Cent,1,Racing Club,1
9/29/2019,Independiente,3,Talleres,2
9/30/2019,CC Córdoba,1,Godoy Cruz,0
9/30/2019,Colón,1,Argentinos Jun,0
10/4/2019,Newell's OB,0,Banfield,0
10/4/2019,Tucumán,2,Talleres,1
10/5/2019,Argentinos Jun,2,Arsenal,1
10/5/2019,Godoy Cruz,2,Gimnasia ELP,4
10/5/2019,San Lorenzo,1,CC Córdoba,4
10/5/2019,Estudiantes,0,CA Huracán,0
10/5/2019,Racing Club,2,Aldosivi,0
10/6/2019,Vélez Sarsf,2,Independiente,0
10/6/2019,Lanús,1,Rosario Cent,1
10/6/2019,CA Unión,1,Colón,0
10/6/2019,River Plate,2,Patronato,0
10/6/2019,Defensa y Just,0,Boca Juniors,1
10/18/2019,Arsenal,3,River Plate,3
10/18/2019,Boca Juniors,0,Racing Club,1
10/19/2019,Banfield,1,Tucumán,2
10/19/2019,Independiente,0,Argentinos Jun,1
10/19/2019,Patronato,1,Newell's OB,3
10/19/2019,Talleres,2,Lanús,4
10/20/2019,Aldosivi,1,Defensa y Just,0
10/20/2019,Gimnasia ELP,0,CA Unión,1
10/20/2019,CA Huracán,2,San Lorenzo,0
10/20/2019,Rosario Cent,0,Vélez Sarsf,1
10/21/2019,CC Córdoba,0,Estudiantes,1
10/21/2019,Colón,2,Godoy Cruz,1
10/29/2019,Godoy Cruz,3,Aldosivi,2
10/29/2019,Estudiantes,3,Rosario Cent,0
10/29/2019,Tucumán,2,Patronato,0
10/29/2019,Newell's OB,0,Gimnasia ELP,4
10/29/2019,River Plate,2,Colón,1
10/30/2019,Argentinos Jun,1,Talleres,0
10/30/2019,San Lorenzo,1,Defensa y Just,3
10/30/2019,CA Unión,2,Independiente,2
10/30/2019,Racing Club,0,Banfield,0
10/31/2019,Arsenal,2,CC Córdoba,2
10/31/2019,Vélez Sarsf,0,CA Huracán,0
10/31/2019,Lanús,2,Boca Juniors,1
11/2/2019,Colón,0,Tucumán,2
11/2/2019,Gimnasia ELP,0,Estudiantes,1
11/2/2019,Rosario Cent,5,Godoy Cruz,2
11/2/2019,Aldosivi,1,River Plate,2
11/3/2019,Boca Juniors,5,Arsenal,1
11/3/2019,Banfield,3,CA Unión,3
11/3/2019,Talleres,1,Newell's OB,0
11/3/2019,Patronato,1,Racing Club,1
11/3/2019,Independiente,2,San Lorenzo,1
11/4/2019,Defensa y Just,0,Argentinos Jun,0
11/4/2019,CA Huracán,0,Lanús,1
11/4/2019,CC Córdoba,0,Vélez Sarsf,0
11/8/2019,Estudiantes,1,Talleres,0
11/8/2019,CA Unión,0,Tucumán,1
11/9/2019,Lanús,0,Banfield,1
11/9/2019,San Lorenzo,3,Argentinos Jun,0
11/9/2019,Godoy Cruz,1,Independiente,2
11/9/2019,CC Córdoba,3,Patronato,2
11/10/2019,River Plate,0,Rosario Cent,1
11/10/2019,Aldosivi,0,Gimnasia ELP,3
11/10/2019,Newell's OB,2,Defensa y Just,0
11/10/2019,Racing Club,1,CA Huracán,0
11/10/2019,Vélez Sarsf,0,Boca Juniors,0
11/23/2019,CA Huracán,1,CC Córdoba,1
11/23/2019,Defensa y Just,2,Lanús,0
11/23/2019,Tucumán,2,San Lorenzo,2
11/24/2019,Boca Juniors,2,CA Unión,0
11/24/2019,Gimnasia ELP,0,Arsenal,1
11/24/2019,Banfield,1,Vélez Sarsf,0
11/24/2019,Talleres,3,Racing Club,3
11/25/2019,Colón,3,Estudiantes,2
11/25/2019,Patronato,0,Godoy Cruz,2
11/25/2019,Rosario Cent,5,Aldosivi,1
11/25/2019,Argentinos Jun,1,Newell's OB,0
11/29/2019,Banfield,1,Gimnasia ELP,1
11/29/2019,Racing Club,1,Defensa y Just,1
11/30/2019,Estudiantes,1,Tucumán,1
11/30/2019,Boca Juniors,1,Argentinos Jun,1
11/30/2019,Newell's OB,2,River Plate,3
12/1/2019,San Lorenzo,2,Patronato,0
12/1/2019,Vélez Sarsf,3,Colón,1
12/1/2019,Godoy Cruz,0,Talleres,5
12/1/2019,CC Córdoba,1,Rosario Cent,1
12/1/2019,Aldosivi,0,Independiente,0
12/2/2019,Arsenal,1,Lanús,1
12/2/2019,CA Unión,1,CA Huracán,0
12/6/2019,Colón,0,Aldosivi,2
12/6/2019,Independiente,0,Banfield,1
12/7/2019,CA Huracán,0,Arsenal,2
12/7/2019,Talleres,0,CA Unión,0
12/7/2019,Tucumán,2,Newell's OB,2
12/7/2019,Lanús,1,Racing Club,0
12/8/2019,Gimnasia ELP,2,CC Córdoba,1
12/8/2019,Defensa y Just,2,Godoy Cruz,0
12/8/2019,Rosario Cent,1,Boca Juniors,0
12/8/2019,River Plate,0,San Lorenzo,1
12/9/2019,Patronato,0,Vélez Sarsf,1
12/9/2019,Argentinos Jun,1,Estudiantes,1
12/12/2019,Arsenal,2,Colón,1
12/13/2019,Independiente,2,Newell's OB,3
1/19/2020,Independiente,1,River Plate,2
1/24/2020,Aldosivi,2,Lanús,0
1/24/2020,Gimnasia ELP,0,Vélez Sarsf,0
1/24/2020,CA Unión,1,Argentinos Jun,0
1/24/2020,Rosario Cent,2,CA Huracán,1
1/25/2020,Arsenal,1,Newell's OB,1
1/25/2020,CC Córdoba,1,Colón,0
1/25/2020,San Lorenzo,1,Estudiantes,1
1/25/2020,Godoy Cruz,0,River Plate,1
1/26/2020,Banfield,3,Patronato,3
1/26/2020,Defensa y Just,4,Talleres,1
1/26/2020,Racing Club,1,Tucumán,1
1/26/2020,Boca Juniors,0,Independiente,0
1/30/2020,Vélez Sarsf,1,Aldosivi,1
1/31/2020,CA Huracán,1,Gimnasia ELP,1
2/1/2020,Independiente,5,Rosario Cent,0
2/1/2020,Tucumán,1,Defensa y Just,1
2/1/2020,Estudiantes,3,CA Unión,1
2/1/2020,Argentinos Jun,1,Racing Club,1
2/2/2020,River Plate,2,CC Córdoba,0
2/2/2020,Colón,0,Banfield,1
2/2/2020,Lanús,2,Godoy Cruz,0
2/2/2020,Talleres,1,Boca Juniors,2
2/3/2020,Patronato,2,Arsenal,2
2/3/2020,Newell's OB,1,San Lorenzo,0
2/7/2020,Aldosivi,0,CC Córdoba,2
2/7/2020,Argentinos Jun,0,Lanús,0
2/8/2020,Gimnasia ELP,1,Patronato,1
2/8/2020,Defensa y Just,0,Colón,0
2/8/2020,Banfield,1,Rosario Cent,1
2/8/2020,Newell's OB,0,Estudiantes,0
2/8/2020,Boca Juniors,2,Tucumán,0
2/9/2020,San Lorenzo,1,Vélez Sarsf,0
2/9/2020,Racing Club,1,Independiente,0
2/9/2020,CA Unión,1,River Plate,2
2/10/2020,Arsenal,1,Talleres,1
2/10/2020,Godoy Cruz,2,CA Huracán,1
2/14/2020,Patronato,1,CA Unión,0
2/14/2020,Colón,1,Racing Club,1
2/15/2020,CA Huracán,0,Aldosivi,2
2/15/2020,Tucumán,0,Argentinos Jun,2
2/15/2020,Rosario Cent,1,Gimnasia ELP,0
2/15/2020,Talleres,1,San Lorenzo,0
2/16/2020,River Plate,1,Banfield,0
2/16/2020,Lanús,1,Newell's OB,1
2/16/2020,CC Córdoba,0,Boca Juniors,4
2/17/2020,Estudiantes,1,Defensa y Just,2
2/17/2020,Independiente,1,Arsenal,1
2/21/2020,Banfield,0,Aldosivi,1
2/21/2020,Argentinos Jun,1,Patronato,1
2/22/2020,San Lorenzo,0,Racing Club,1
2/22/2020,Independiente,0,Gimnasia ELP,1
2/22/2020,Newell's OB,4,Colón,0
2/22/2020,Tucumán,2,Lanús,2
2/23/2020,Arsenal,0,Vélez Sarsf,4
2/23/2020,Boca Juniors,3,Godoy Cruz,0
2/23/2020,Estudiantes,0,River Plate,2
2/24/2020,Defensa y Just,3,Rosario Cent,0
2/24/2020,CA Unión,0,CC Córdoba,0
2/24/2020,Talleres,4,CA Huracán,2
2/28/2020,Racing Club,1,Newell's OB,1
2/28/2020,Colón,0,Boca Juniors,4
2/29/2020,Gimnasia ELP,1,Tucumán,0
2/29/2020,River Plate,1,Defensa y Just,1
2/29/2020,CC Córdoba,1,Banfield,1
2/29/2020,Godoy Cruz,1,CA Unión,3
3/1/2020,Aldosivi,1,San Lorenzo,3
3/1/2020,Lanús,1,Estudiantes,1
3/1/2020,Rosario Cent,3,Arsenal,1
3/1/2020,Vélez Sarsf,2,Argentinos Jun,0
3/2/2020,Patronato,3,Talleres,2
3/2/2020,CA Huracán,1,Independiente,0
3/4/2020,Vélez Sarsf,0,Godoy Cruz,1
3/6/2020,Arsenal,4,Aldosivi,0
3/6/2020,Argentinos Jun,2,Rosario Cent,1
3/7/2020,Defensa y Just,2,Patronato,0
3/7/2020,Banfield,0,CA Huracán,3
3/7/2020,Boca Juniors,1,Gimnasia ELP,0
3/7/2020,Tucumán,1,River Plate,1
3/8/2020,San Lorenzo,4,Lanús,3
3/8/2020,Independiente,3,CC Córdoba,0
3/8/2020,Newell's OB,0,Godoy Cruz,2
3/8/2020,Talleres,2,Colón,0
3/9/2020,CA Unión,0,Vélez Sarsf,3
3/9/2020,Estudiantes,1,Racing Club,2
